action,label,regret,note,trial,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
4,1,-0.4,action = 4,0,,,,,,,,,,,,,,,
3,0,0.6,action = 3,1,,,,,,,,,,,,,,,
2,0,0.6,action = 2,2,,,,,,,,,,,,,,,
1,1,-0.4,action = 1,3,,,,,,,,,,,,,,,
1,1,-0.4,action = 1,4,,,,,,,,,,,,,,,
0,1,-0.4,action = 0,5,0.56725,0.76956,0.34002,0.37543,0.69107,0.11704699910719625,0.0,0.12421755109484327,0.10300485425454473,0.06549809157525126,1.7377199910719625,0.76956,1.5821955109484327,1.4054785425454472,1.3460509157525125
0,1,-0.4,action = 0,6,0.63016,0.65869,0.39892,0.42305,0.66974,0.1777638883463118,0.1638596960817394,0.0,0.0,0.118490505948789,2.407798883463118,2.297286960817394,0.39892,0.42305,1.85464505948789
4,1,-0.4,action = 4,7,0.7671,0.73249,0.30714,0.33036,0.71576,0.158871016865884,0.14946571513226703,0.0291547594742265,0.0,0.16754103974847476,2.35581016865884,2.2271471513226704,0.598687594742265,0.33036,2.3911703974847476
4,0,0.6,action = 4,8,0.80826,0.78176,0.28373,0.32276,0.80752,0.19222382786741085,0.17854971296532515,0.028635642126552705,0.1638596960817394,0.21351814911149825,2.7304982786741085,2.5672571296532514,0.570086421265527,1.9613569608173937,2.942701491114983
0,1,-0.4,action = 0,9,0.69272,0.66607,0.46279,0.43806,0.58503,0.1268857754044952,0.09343446901438462,0.11090536506409417,0.117983049630021,0.08215838362577492,1.961577754044952,1.6004146901438463,1.5718436506409417,1.6178904963002099,1.4066138362577494
0,0,0.6,action = 0,10,0.77527,0.65455,0.42811,0.41195,0.58442,0.14401388821915753,0.1556277610196844,0.15205262246998572,0.13718600511714013,0.10592450141492289,2.2154088821915754,2.210827610196844,1.9486362246998572,1.7838100511714012,1.6436650141492288
1,1,-0.4,action = 1,11,0.5679,0.57399,0.4444,0.44411,0.52482,0.043931765272977596,0.07362064927722385,0.061806148561449774,0.066332495807108,0.06935416353759881,1.0072176527297758,1.3101964927722385,1.0624614856144978,1.1074349580710798,1.218361635375988
3,0,0.6,action = 3,12,0.57203,0.63737,0.48752,0.49334,0.57576,0.06648308055437865,0.0560357029044876,0.10663020210053059,0.10681760154581266,0.06511528238439883,1.2368608055437866,1.197727029044876,1.5538220210053058,1.5615160154581265,1.2269128238439884
4,0,0.6,action = 4,13,0.57276,0.59101,0.39856,0.3742,0.48799,0.0,0.0,0.026076809620810597,0.0679705818718657,0.06442049363362563,0.57276,0.59101,0.6593280962081061,1.0539058187186572,1.1321949363362562
