x1,x2,label
0.59,-0.16,1
-0.42,-0.05,1
1.01,0.87,0
1.21,-0.45,1
-0.07,1.16,0
-0.36,-0.18,1
0.03,0.59,1
0.51,-0.47,0
-0.02,-0.29,1
-0.26,-0.19,1
0.28,-0.39,1
0.33,0.12,1
0.1,-0.39,1
1.52,1.31,1
-0.37,-0.43,1
0.85,0.83,0
0.61,-0.3,1
0.36,-0.15,1
0.37,0.24,1
-0.22,-0.57,1
1.37,1.04,1
-0.28,-0.55,1
0.09,1.24,0
1.12,-0.1,1
0.66,0.33,0
-0.1,-0.05,1
0.56,-0.14,0
-0.58,-0.11,1
-0.08,0.07,1
-0.43,0.4,0
0.44,-0.49,0
0.02,-0.32,1
0.22,-0.09,1
0.74,-0.32,0
0.53,-0.08,0
0.35,0.33,1
0.3,1.01,0
0.08,0.22,1
1.56,-0.08,1
-0.28,-0.59,1
0.74,0.43,0
0.16,-0.34,1
0.42,-0.31,1
0.61,-0.15,0
0.65,-0.45,0
1.15,-0.3,1
1.03,0.37,1
0.45,-0.24,1
-0.28,-0.07,1
0.6,0.45,0
