x1,x2,label
1.1,0.48,0
1.6,-0.21,1
0.71,0.55,0
0.54,0.49,0
1.32,-0.27,1
-0.3,1.76,1
0.92,-0.37,1
0.3,0.19,1
1.45,1.22,1
-0.12,1.64,1
0.27,0.88,0
1.86,-0.03,1
-0.54,-0.08,1
0.46,-0.47,1
1.19,-0.45,1
-0.61,0.68,0
-0.03,0.28,1
0.61,0.12,0
0.79,0.33,0
1.21,0.53,0
0.09,0.91,0
0.94,1.0,0
1.31,-0.28,1
1.26,1.5,1
-0.61,0.82,0
0.29,1.6,1
1.38,0.33,1
1.69,-0.69,1
0.24,-0.65,1
1.75,1.52,1
0.09,-0.56,1
0.49,1.18,0
1.21,-0.89,1
0.5,0.04,1
2.01,0.61,1
-0.44,-0.61,1
1.89,-0.16,1
0.58,-0.05,1
1.21,1.29,0
0.9,0.62,0
0.21,0.21,1
0.37,-0.75,1
1.42,-0.79,1
-0.89,1.11,0
0.21,0.46,1
-0.01,-0.26,1
0.4,1.43,0
-0.4,-0.19,1
-0.4,0.76,0
0.71,-0.63,1
