x1,x2,label
0.23,-0.78,1
0.0,0.26,1
-0.5,0.13,1
-0.03,0.32,1
0.36,0.19,0
0.09,1.01,0
1.46,-0.16,0
0.19,1.19,0
0.31,-0.25,1
-0.41,-0.4,1
0.87,0.7,0
0.83,1.28,0
0.16,0.32,1
0.06,-0.14,1
1.61,-0.33,0
0.85,1.02,0
0.14,-0.23,1
0.54,0.01,0
0.27,0.76,0
0.12,-0.44,1
0.63,0.17,0
0.27,0.68,0
-0.36,1.12,0
0.23,-0.65,1
0.8,-0.65,0
0.36,-0.11,1
0.73,1.17,0
-0.95,-0.12,1
0.04,-0.39,1
0.23,0.88,0
-0.38,0.82,0
0.07,0.77,0
1.01,0.13,0
0.54,0.27,0
0.69,0.95,0
-0.2,0.52,1
-0.7,-0.18,1
0.37,0.23,1
0.45,1.06,0
0.94,0.2,0
1.03,0.92,0
1.0,-0.29,0
-0.86,-0.1,1
0.34,-0.15,1
0.61,0.51,0
1.06,1.5,0
0.39,-0.03,1
-0.72,-0.75,1
1.17,0.91,0
-0.04,1.14,0
