action,label,regret,note,trial,optimal_action,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
3,0,0.6,action = 3,0,3,,,,,,,,,,,,,,,
1,0,0.6,action = 1,1,3,,,,,,,,,,,,,,,
1,1,-0.4,action = 1,2,3,,,,,,,,,,,,,,,
4,1,-0.4,action = 4,3,3,,,,,,,,,,,,,,,
0,0,0.6,action = 0,4,3,,,,,,,,,,,,,,,
2,0,0.6,action = 2,5,3,0.33773,0.41381,0.38368,0.36616,0.50624,2.5372597960917744,1.7941180927044762,100000.0,2.5372597960917744,2.5372597960917744,5.4122495921835485,4.002046185408952,200000.38368,5.440679592183549,5.580759592183549
4,0,0.6,action = 4,6,3,0.27896,0.37311,0.29745,0.27759,0.48132,2.6771190125301016,1.8930137402964102,2.6771190125301016,2.6771190125301016,2.6771190125301016,5.633198025060203,4.15913748059282,5.651688025060203,5.631828025060203,5.8355580250602035
0,0,0.6,action = 0,7,3,0.27468,0.31799,0.26912,0.25499,0.33295,2.7899037188751956,1.9727647703429902,2.7899037188751956,2.7899037188751956,1.9727647703429902,5.854487437750391,4.26351954068598,5.848927437750391,5.8347974377503915,4.27847954068598
3,1,-0.4,action = 3,8,3,0.24562,0.32203,0.24799,0.25233,0.365,2.0393288820217856,2.0393288820217856,2.8840393530410506,2.8840393530410506,2.0393288820217856,4.324277764043571,4.400687764043571,6.016068706082101,6.020408706082101,4.4436577640435715
2,0,0.6,action = 2,9,3,0.35644,0.39597,0.38006,0.41991,0.45093,2.0962889072206927,2.0962889072206927,2.9645927918081205,2.0962889072206927,2.0962889072206927,4.5490178144413855,4.588547814441386,6.309245583616241,4.612487814441385,4.643507814441385
4,0,0.6,action = 4,10,3,0.30592,0.33797,0.3112,0.36292,0.37328,2.1459606613944,2.1459606613944,2.1459606613944,2.1459606613944,2.1459606613944,4.5978413227888,4.6298913227888,4.6031213227888,4.6548413227887995,4.6652013227888
3,1,-0.4,action = 3,11,3,0.28018,0.33241,0.2969,0.35632,0.35218,2.189923872367235,2.189923872367235,2.189923872367235,2.189923872367235,1.7880668443287278,4.66002774473447,4.712257744734471,4.67674774473447,4.7361677447344706,3.9283136886574557
1,0,0.6,action = 1,12,3,0.36411,0.4267,0.35741,0.47499,0.42647,2.2293022340260973,2.2293022340260973,2.2293022340260973,1.8202191687792049,1.8202191687792049,4.822714468052195,4.885304468052195,4.816014468052194,4.115428337558409,4.066908337558409
2,1,-0.4,action = 2,13,3,0.30537,0.35442,0.31093,0.42563,0.37804,2.26492230894522,1.8493028623993581,2.26492230894522,1.8493028623993581,1.8493028623993581,4.83521461789044,4.053025724798716,4.84077461789044,4.124235724798717,4.076645724798716
0,0,0.6,action = 0,14,3,0.40733,0.41953,0.43173,0.46889,0.4564,2.2974090338442505,1.87582818430929,1.87582818430929,1.87582818430929,1.87582818430929,5.002148067688501,4.171186368618581,4.183386368618581,4.22054636861858,4.20805636861858
3,1,-0.4,action = 3,15,3,0.32781,0.39001,0.43844,0.4505,0.42019,1.9001898762310732,1.9001898762310732,1.9001898762310732,1.9001898762310732,1.9001898762310732,4.128189752462147,4.1903897524621465,4.238819752462146,4.250879752462146,4.220569752462146
2,0,0.6,action = 2,16,3,0.38154,0.42071,0.44495,0.52974,0.43871,1.9226993109716628,1.9226993109716628,1.9226993109716628,1.6651071409327702,1.9226993109716628,4.226938621943326,4.266108621943325,4.290348621943326,3.8599542818655403,4.284108621943326
4,1,-0.4,action = 4,17,3,0.33837,0.42018,0.40232,0.51779,0.4261,1.943606235855818,1.943606235855818,1.683213076541578,1.683213076541578,1.943606235855818,4.225582471711636,4.307392471711636,3.768746153083156,3.8842161530831563,4.313312471711636
1,1,-0.4,action = 1,18,3,0.42146,0.46307,0.46931,0.53584,0.50581,1.963113894931809,1.963113894931809,1.7001072119089533,1.7001072119089533,1.7001072119089533,4.347687789863618,4.389297789863618,3.8695244238179067,3.9360544238179065,3.9060244238179065
0,1,-0.4,action = 0,19,3,0.40799,0.48714,0.46279,0.52964,0.5061,1.9813898032786847,1.7159346194093164,1.7159346194093164,1.7159346194093164,1.7159346194093164,4.37076960655737,3.919009238818633,3.8946592388186327,3.961509238818633,3.9379692388186327
3,1,-0.4,action = 3,20,3,0.47503,0.48752,0.5,0.54345,0.51868,1.7308162190833638,1.7308162190833638,1.7308162190833638,1.7308162190833638,1.7308162190833638,3.9366624381667275,3.9491524381667276,3.9616324381667276,4.005082438166728,3.9803124381667274
4,0,0.6,action = 4,21,3,0.49338,0.51825,0.52335,0.57414,0.5474,1.744853812339692,1.744853812339692,1.744853812339692,1.5606450842368293,1.744853812339692,3.983087624679384,4.007957624679384,4.013057624679384,3.6954301684736586,4.0371076246793836
1,0,0.6,action = 1,22,3,0.49376,0.51248,0.51248,0.54955,0.53116,1.7581338759524265,1.7581338759524265,1.7581338759524265,1.5725231371997739,1.5725231371997739,4.010027751904853,4.028747751904853,4.028747751904853,3.6945962743995477,3.6762062743995476
2,0,0.6,action = 2,23,3,0.47508,0.48132,0.48137,0.53693,0.47527,1.770730464303703,1.5837898711516651,1.770730464303703,1.5837898711516651,1.5837898711516651,4.016540928607406,3.6488997423033305,4.022830928607406,3.70450974230333,3.6428497423033304
0,0,0.6,action = 0,24,3,0.43858,0.46279,0.45744,0.54203,0.49986,1.7827074592409247,1.5945024237681165,1.5945024237681165,1.5945024237681165,1.5945024237681165,4.003994918481849,3.651794847536233,3.646444847536233,3.731034847536233,3.688864847536233
3,1,-0.4,action = 3,25,3,0.39542,0.43792,0.42628,0.54331,0.46265,1.604710413035181,1.604710413035181,1.604710413035181,1.604710413035181,1.604710413035181,3.604840826070362,3.647340826070362,3.6357008260703623,3.752730826070362,3.672070826070362
