x1,x2,label
0.21,0.21,1
0.37,-0.75,0
1.42,-0.79,1
-0.89,1.11,0
0.21,0.46,1
-1.01,-0.2,0
0.4,1.23,0
-0.4,-0.19,1
-0.44,-0.6,0
0.71,-1.03,1
0.21,0.85,0
0.05,1.19,0
-0.46,0.39,1
-0.49,0.77,0
-1.02,0.27,0
0.11,1.28,0
0.83,1.16,0
2.57,-0.34,1
0.48,0.21,0
-0.16,1.18,0
0.57,0.98,0
2.26,1.05,1
0.07,1.16,0
-0.1,0.94,0
0.57,-0.17,0
-1.3,-0.63,0
0.67,-0.35,0
0.33,0.69,0
-0.14,0.38,1
-0.59,-1.03,0
0.27,-0.11,1
-0.11,-0.76,0
0.04,0.29,1
1.81,-0.15,1
-0.6,1.2,0
0.59,-0.9,1
-0.7,1.24,0
0.71,0.47,0
-0.18,-0.37,1
1.37,0.65,0
0.36,0.87,0
1.23,0.07,0
1.1,0.44,0
0.58,0.43,0
1.24,0.51,0
0.33,0.47,0
1.86,-0.04,1
-0.78,-0.43,0
1.04,-0.21,1
0.23,1.22,0
