x1,label,note
0.1,0,x1 = 0.1
4.2,1,x1 = 4.2
2.0,0,x1 = 2.0
-0.0,0,x1 = -0.0
6.0,1,x1 = 6.0
0.4,0,x1 = 0.4
1.2,1,x1 = 1.2
-3.0,1,x1 = -3.0
3.2,0,x1 = 3.2
1.5,1,x1 = 1.5
-1.2,1,x1 = -1.2
0.8,1,x1 = 0.8
7.2,1,x1 = 7.2
2.6,0,x1 = 2.6
-2.1,0,x1 = -2.1
1.0,0,x1 = 1.0
-2.9,0,x1 = -2.9
-6.2,1,x1 = -6.2
7.3,1,x1 = 7.3
-4.0,0,x1 = -4.0
3.5,1,x1 = 3.5
-2.4,0,x1 = -2.4
1.0,1,x1 = 1.0
2.7,1,x1 = 2.7
-6.5,0,x1 = -6.5
7.7,0,x1 = 7.7
3.1,1,x1 = 3.1
1.9,0,x1 = 1.9
2.0,1,x1 = 2.0
6.9,1,x1 = 6.9
-0.6,0,x1 = -0.6
2.0,1,x1 = 2.0
-1.1,1,x1 = -1.1
3.3,1,x1 = 3.3
-4.6,0,x1 = -4.6
2.7,1,x1 = 2.7
-1.6,0,x1 = -1.6
7.3,1,x1 = 7.3
1.1,1,x1 = 1.1
4.7,0,x1 = 4.7
2.9,1,x1 = 2.9
-0.8,0,x1 = -0.8
-1.4,1,x1 = -1.4
-0.3,0,x1 = -0.3
1.0,0,x1 = 1.0
3.3,0,x1 = 3.3
5.1,0,x1 = 5.1
-1.6,1,x1 = -1.6
0.8,0,x1 = 0.8
-0.0,1,x1 = -0.0
6.7,0,x1 = 6.7
-0.4,0,x1 = -0.4
8.3,1,x1 = 8.3
-2.1,0,x1 = -2.1
-0.6,1,x1 = -0.6
5.9,0,x1 = 5.9
-0.8,0,x1 = -0.8
4.4,1,x1 = 4.4
3.8,1,x1 = 3.8
3.8,1,x1 = 3.8
1.6,0,x1 = 1.6
-0.6,0,x1 = -0.6
3.9,1,x1 = 3.9
4.1,1,x1 = 4.1
-1.9,0,x1 = -1.9
2.7,0,x1 = 2.7
2.0,0,x1 = 2.0
-0.2,0,x1 = -0.2
0.3,1,x1 = 0.3
0.1,0,x1 = 0.1
3.7,0,x1 = 3.7
-3.3,1,x1 = -3.3
-3.6,1,x1 = -3.6
6.7,1,x1 = 6.7
4.0,0,x1 = 4.0
