b0,b1
0.9266570806503296,"[-0.1894693821668625, -0.9110939502716064, -0.34710851311683655, -0.8820158243179321, -0.923369824886322]"
0.5729544758796692,"[-0.5048447251319885, -0.8891143798828125, -0.25402286648750305, -0.8091760873794556, -0.9073024392127991]"
0.7901121973991394,"[-1.0123592615127563, -0.9260242581367493, 0.8464668989181519, 0.6729735136032104, -0.9256215691566467]"
-0.029696239158511162,"[-0.5406112670898438, -0.9343329668045044, 0.7085819244384766, 0.2694338262081146, -0.09046196937561035]"
0.4628902077674866,"[0.21124039590358734, -0.9104083180427551, 0.3424346148967743, 0.282574325799942, -0.9217074513435364]"
0.6146535873413086,"[-0.22944992780685425, -0.9329423904418945, 0.5500597357749939, -0.6749345064163208, -0.34464502334594727]"
-0.7482215166091919,"[0.8659783005714417, -0.7210612893104553, 0.1697169691324234, -0.8403280973434448, -0.8191604018211365]"
-0.2954085171222687,"[-0.705319344997406, -0.8611043691635132, 0.3160901665687561, -0.144635871052742, -0.8335736989974976]"
-0.7691711187362671,"[-0.3030672073364258, -0.7955689430236816, 0.22707508504390717, -0.8561344146728516, -0.8786776661872864]"
0.6517543792724609,"[0.03991265222430229, -0.9419419765472412, -0.15026117861270905, -0.9420959949493408, -0.9360175132751465]"
0.8650708198547363,"[-0.5534826517105103, -0.9402335286140442, 0.26475927233695984, -0.9320356845855713, -0.8132504820823669]"
0.13900868594646454,"[-0.009580498561263084, -0.5472800731658936, -0.1330329030752182, -0.9058443307876587, -0.8948736786842346]"
0.25848692655563354,"[-0.18094401061534882, -0.920752763748169, 0.06484081596136093, -0.9546908140182495, -0.4384416341781616]"
-0.11178918927907944,"[-0.4557201862335205, -0.8607731461524963, 0.35342836380004883, -0.883862316608429, -0.6366634368896484]"
-0.5210443735122681,"[-0.28138911724090576, -0.9122764468193054, 0.753986120223999, -0.9435378909111023, 0.5070069432258606]"
0.2996682822704315,"[-0.7912477850914001, -0.9126468300819397, 0.8644273281097412, -0.9021146297454834, -0.7861596941947937]"
0.47141554951667786,"[-0.637887179851532, -0.8464379906654358, 0.8072410225868225, -0.8896045088768005, -0.3344780504703522]"
0.9472609162330627,"[-0.9000900983810425, -0.9214308857917786, -0.0005170031217858195, -0.9397633671760559, -0.8670431971549988]"
0.8405192494392395,"[-0.938260555267334, -0.9258447289466858, 0.29944753646850586, -0.9183070063591003, -0.2564195394515991]"
0.9189600944519043,"[-0.9717445969581604, -0.9196439385414124, 0.6007227897644043, -0.8421509861946106, -0.8991848826408386]"
0.2940256595611572,"[-0.8816232681274414, -0.540053129196167, 0.6178184151649475, -0.4531223773956299, -0.2897656261920929]"
0.47997236251831055,"[-0.36517053842544556, 0.4428060054779053, -0.08075981587171555, -0.6799494028091431, -0.9286091327667236]"
0.6750432848930359,"[-0.6950483918190002, -0.8194485306739807, 0.16409750282764435, 0.11246877163648605, -0.8058295845985413]"
