x_note,TU,Va,Ve,true_label,pred_label
"SepalLengthCm = 4.9, SepalWidthCm = 3.1, PetalLengthCm = 1.5, PetalWidthCm = 0.1",0.03759,0.16672691715752985,-0.12913691715752984,0,0
"SepalLengthCm = 5.0, SepalWidthCm = 3.4, PetalLengthCm = 1.5, PetalWidthCm = 0.2",0.05284,0.20145404322735008,-0.14861404322735008,0,0
"SepalLengthCm = 7.1, SepalWidthCm = 3.0, PetalLengthCm = 5.9, PetalWidthCm = 2.1",0.22309,0.26445241268870295,-0.04136241268870294,2,2
"SepalLengthCm = 5.0, SepalWidthCm = 3.5, PetalLengthCm = 1.3, PetalWidthCm = 0.3",0.05689,0.22337819864201242,-0.16648819864201242,0,0
"SepalLengthCm = 6.0, SepalWidthCm = 2.2, PetalLengthCm = 5.0, PetalWidthCm = 1.5",1.02938,0.8349242598379836,0.1944557401620164,2,1
"SepalLengthCm = 5.1, SepalWidthCm = 3.8, PetalLengthCm = 1.6, PetalWidthCm = 0.2",0.07451,0.23659612043609035,-0.16208612043609033,0,0
"SepalLengthCm = 6.0, SepalWidthCm = 3.4, PetalLengthCm = 4.5, PetalWidthCm = 1.6",0.30753,0.45176389221282703,-0.144233892212827,1,1
"SepalLengthCm = 5.7, SepalWidthCm = 3.0, PetalLengthCm = 4.2, PetalWidthCm = 1.2",0.22375,0.3487557372297912,-0.1250057372297912,1,1
"SepalLengthCm = 5.5, SepalWidthCm = 3.5, PetalLengthCm = 1.3, PetalWidthCm = 0.2",0.08768,0.2537604664061863,-0.16608046640618634,0,0
"SepalLengthCm = 5.0, SepalWidthCm = 2.3, PetalLengthCm = 3.3, PetalWidthCm = 1.0",0.19982,0.3238479009309652,-0.12402790093096522,1,1
