x_note,TU,Va,Ve,true_label,pred_label
"SepalLengthCm = 4.9, SepalWidthCm = 3.1, PetalLengthCm = 1.5, PetalWidthCm = 0.1",0.31913,0.09378680399792515,0.22534319600207486,0,0
"SepalLengthCm = 5.0, SepalWidthCm = 3.4, PetalLengthCm = 1.5, PetalWidthCm = 0.2",0.35049,0.1953998725242315,0.15509012747576853,0,0
"SepalLengthCm = 7.1, SepalWidthCm = 3.0, PetalLengthCm = 5.9, PetalWidthCm = 2.1",0.2456,0.42127099485741415,-0.17567099485741414,2,2
"SepalLengthCm = 5.0, SepalWidthCm = 3.5, PetalLengthCm = 1.3, PetalWidthCm = 0.3",0.42076,0.19284743096590176,0.22791256903409826,0,0
"SepalLengthCm = 6.0, SepalWidthCm = 2.2, PetalLengthCm = 5.0, PetalWidthCm = 1.5",0.63539,0.48059405763767854,0.15479594236232147,2,2
"SepalLengthCm = 5.1, SepalWidthCm = 3.8, PetalLengthCm = 1.6, PetalWidthCm = 0.2",0.41019,0.22780328065672556,0.18238671934327444,0,0
"SepalLengthCm = 6.0, SepalWidthCm = 3.4, PetalLengthCm = 4.5, PetalWidthCm = 1.6",0.92966,0.8512627747696415,0.07839722523035852,1,1
"SepalLengthCm = 5.7, SepalWidthCm = 3.0, PetalLengthCm = 4.2, PetalWidthCm = 1.2",0.35764,0.6103259810303623,-0.25268598103036227,1,1
"SepalLengthCm = 5.5, SepalWidthCm = 3.5, PetalLengthCm = 1.3, PetalWidthCm = 0.2",0.48705,0.33153713641906113,0.15551286358093885,0,0
"SepalLengthCm = 5.0, SepalWidthCm = 2.3, PetalLengthCm = 3.3, PetalWidthCm = 1.0",0.3793,0.3957034133215152,-0.01640341332151518,1,1
"SepalLengthCm = 5.1, SepalWidthCm = 3.5, PetalLengthCm = 1.4, PetalWidthCm = 0.2",0.32727,0.1379537337720131,0.18931626622798692,0,0
"SepalLengthCm = 4.4, SepalWidthCm = 2.9, PetalLengthCm = 1.4, PetalWidthCm = 0.2",0.29606,0.1413644529422579,0.15469554705774208,0,0
"SepalLengthCm = 6.0, SepalWidthCm = 3.0, PetalLengthCm = 4.8, PetalWidthCm = 1.8",0.9998,0.7077000750282574,0.29209992497174264,2,2
"SepalLengthCm = 6.3, SepalWidthCm = 2.5, PetalLengthCm = 4.9, PetalWidthCm = 1.5",0.95699,0.9908662063946508,-0.03387620639465083,1,1
