x_note,TU,Va,Ve,true_label,pred_label
"SepalLengthCm = 4.9, SepalWidthCm = 3.1, PetalLengthCm = 1.5, PetalWidthCm = 0.1",0.03885,0.16241858852487578,-0.12356858852487579,0,0
"SepalLengthCm = 5.0, SepalWidthCm = 3.4, PetalLengthCm = 1.5, PetalWidthCm = 0.2",0.0524,0.20186701682651143,-0.14946701682651142,0,0
"SepalLengthCm = 7.1, SepalWidthCm = 3.0, PetalLengthCm = 5.9, PetalWidthCm = 2.1",0.22309,0.2700164599246073,-0.04692645992460731,2,2
"SepalLengthCm = 5.0, SepalWidthCm = 3.5, PetalLengthCm = 1.3, PetalWidthCm = 0.3",0.05562,0.2235356176677288,-0.1679156176677288,0,0
"SepalLengthCm = 6.0, SepalWidthCm = 2.2, PetalLengthCm = 5.0, PetalWidthCm = 1.5",1.0303,0.8974151268296783,0.13288487317032172,2,1
"SepalLengthCm = 5.1, SepalWidthCm = 3.8, PetalLengthCm = 1.6, PetalWidthCm = 0.2",0.07451,0.2379459748538718,-0.1634359748538718,0,0
"SepalLengthCm = 6.0, SepalWidthCm = 3.4, PetalLengthCm = 4.5, PetalWidthCm = 1.6",0.31993,0.4442273958672068,-0.12429739586720678,1,1
"SepalLengthCm = 5.7, SepalWidthCm = 3.0, PetalLengthCm = 4.2, PetalWidthCm = 1.2",0.22375,0.3371198738015591,-0.1133698738015591,1,1
"SepalLengthCm = 5.5, SepalWidthCm = 3.5, PetalLengthCm = 1.3, PetalWidthCm = 0.2",0.08768,0.2574758712851083,-0.1697958712851083,0,0
"SepalLengthCm = 5.0, SepalWidthCm = 2.3, PetalLengthCm = 3.3, PetalWidthCm = 1.0",0.19845,0.3049098987826521,-0.10645989878265213,1,1
"SepalLengthCm = 5.1, SepalWidthCm = 3.5, PetalLengthCm = 1.4, PetalWidthCm = 0.2",0.04506,0.16285741726787825,-0.11779741726787825,0,0
