x_note,TU,Va,Ve,true_label,pred_label
"SepalLengthCm = 4.9, SepalWidthCm = 3.1, PetalLengthCm = 1.5, PetalWidthCm = 0.1",0.3137,0.15046294579235003,0.16323705420764995,0,0
"SepalLengthCm = 5.0, SepalWidthCm = 3.4, PetalLengthCm = 1.5, PetalWidthCm = 0.2",0.35049,0.19044781733308844,0.1600421826669116,0,0
"SepalLengthCm = 7.1, SepalWidthCm = 3.0, PetalLengthCm = 5.9, PetalWidthCm = 2.1",0.2456,0.4217283990062034,-0.1761283990062034,2,2
"SepalLengthCm = 5.0, SepalWidthCm = 3.5, PetalLengthCm = 1.3, PetalWidthCm = 0.3",0.43047,0.22515762831084205,0.20531237168915797,0,0
"SepalLengthCm = 6.0, SepalWidthCm = 2.2, PetalLengthCm = 5.0, PetalWidthCm = 1.5",0.63539,0.7992234851475604,-0.16383348514756035,2,2
"SepalLengthCm = 5.1, SepalWidthCm = 3.8, PetalLengthCm = 1.6, PetalWidthCm = 0.2",0.41019,0.2593377586707596,0.1508522413292404,0,0
"SepalLengthCm = 6.0, SepalWidthCm = 3.4, PetalLengthCm = 4.5, PetalWidthCm = 1.6",0.92966,0.8581825934639394,0.0714774065360606,1,1
"SepalLengthCm = 5.7, SepalWidthCm = 3.0, PetalLengthCm = 4.2, PetalWidthCm = 1.2",0.35764,0.6312073030815287,-0.2735673030815287,1,1
"SepalLengthCm = 5.5, SepalWidthCm = 3.5, PetalLengthCm = 1.3, PetalWidthCm = 0.2",0.48705,0.2979288260343496,0.18912117396565037,0,0
"SepalLengthCm = 5.0, SepalWidthCm = 2.3, PetalLengthCm = 3.3, PetalWidthCm = 1.0",0.3793,0.3983712645467723,-0.01907126454677227,1,1
