b0,b1
-0.8060638308525085,[0.6474024057388306]
-0.4650876820087433,[0.2299230396747589]
-0.280848890542984,[0.13479290902614594]
-0.7052547335624695,[0.44271597266197205]
-0.09931391477584839,[0.5033966302871704]
-0.9121771454811096,[0.2975654900074005]
-0.36839839816093445,[0.05721350014209747]
-0.6325021982192993,[0.35633131861686707]
0.6138674020767212,[0.11459656804800034]
-0.39244547486305237,[0.3770137131214142]
-0.15064305067062378,[-0.0008209104416891932]
-0.5068093538284302,[0.27900320291519165]
-0.2113298624753952,[0.399954617023468]
-0.5764039754867554,[0.4731452167034149]
-0.542940616607666,[0.16722193360328674]
0.18167530000209808,[0.129898339509964]
-0.33507031202316284,[0.5157251358032227]
0.3237724006175995,[0.030201613903045654]
-0.7587419152259827,[0.5456721186637878]
-0.0589604452252388,[0.241349458694458]
-0.32820945978164673,[0.028933273628354073]
-0.4596234858036041,[0.0986771509051323]
-0.18535783886909485,[0.13729235529899597]
-0.21979071199893951,[0.2521805465221405]
-0.9712046384811401,[0.5797504782676697]
-1.0381203889846802,[0.5675018429756165]
-0.6158861517906189,[0.20132961869239807]
-0.8665146231651306,[0.4318854510784149]
-0.5446982383728027,[0.17483757436275482]
-1.4079399108886719,[0.5334855318069458]
-0.47737017273902893,[0.1675051748752594]
0.1603250652551651,[0.13536788523197174]
-0.1677456498146057,[0.5720964074134827]
-0.13068144023418427,[0.3078438639640808]
-0.5214981436729431,[0.5819913744926453]
-0.37092018127441406,[0.5354577302932739]
-0.9647699594497681,[0.4957979917526245]
-0.47568392753601074,[0.30192309617996216]
-0.6362093091011047,[0.38913384079933167]
-0.5484161376953125,[0.35345572233200073]
0.07826598733663559,[0.16909556090831757]
-0.5503670573234558,[0.3401505947113037]
-0.49440065026283264,[0.34822607040405273]
-0.4118286669254303,[0.2751010060310364]
-1.426990032196045,[0.4664393663406372]
-0.5412344336509705,[0.3721805810928345]
-0.23815837502479553,[0.2164423167705536]
-1.2074211835861206,[0.43641775846481323]
-0.8217755556106567,[0.2581324875354767]
-0.6251880526542664,[0.4080136716365814]
