theta_0,theta_1
tensor(-0.8641),tensor(0.8559)
tensor(-0.8571),tensor(0.8637)
tensor(-0.8598),tensor(0.8596)
tensor(-0.8639),tensor(0.8558)
tensor(-0.8569),tensor(0.8638)
tensor(-0.8612),tensor(0.8590)
tensor(-0.8625),tensor(0.8575)
tensor(-0.8615),tensor(0.8586)
tensor(-0.8593),tensor(0.8604)
tensor(-0.8594),tensor(0.8609)
tensor(-0.8635),tensor(0.8563)
tensor(-0.8572),tensor(0.8631)
tensor(-0.8587),tensor(0.8612)
tensor(-0.8635),tensor(0.8566)
tensor(-0.8624),tensor(0.8575)
tensor(-0.8586),tensor(0.8621)
tensor(-0.8626),tensor(0.8574)
tensor(-0.8667),tensor(0.8529)
tensor(-0.8668),tensor(0.8520)
tensor(-0.8565),tensor(0.8641)
tensor(-0.8631),tensor(0.8568)
tensor(-0.8598),tensor(0.8603)
tensor(-0.8631),tensor(0.8567)
tensor(-0.8672),tensor(0.8527)
tensor(-0.8609),tensor(0.8592)
tensor(-0.8611),tensor(0.8584)
tensor(-0.8593),tensor(0.8611)
tensor(-0.8673),tensor(0.8515)
tensor(-0.8603),tensor(0.8601)
tensor(-0.8569),tensor(0.8637)
tensor(-0.8618),tensor(0.8582)
tensor(-0.8621),tensor(0.8580)
tensor(-0.8647),tensor(0.8550)
tensor(-0.8609),tensor(0.8593)
tensor(-0.8682),tensor(0.8516)
tensor(-0.8643),tensor(0.8558)
tensor(-0.8689),tensor(0.8506)
tensor(-0.8567),tensor(0.8639)
tensor(-0.8610),tensor(0.8592)
tensor(-0.8611),tensor(0.8593)
tensor(-0.8585),tensor(0.8620)
tensor(-0.8646),tensor(0.8551)
tensor(-0.8631),tensor(0.8568)
tensor(-0.8618),tensor(0.8582)
tensor(-0.8647),tensor(0.8553)
tensor(-0.8611),tensor(0.8590)
tensor(-0.8619),tensor(0.8582)
tensor(-0.8578),tensor(0.8628)
tensor(-0.8615),tensor(0.8587)
tensor(-0.8683),tensor(0.8511)
