x1,x2,label
0.46,-0.7,0
0.51,0.34,0
0.78,1.09,0
0.42,0.38,0
1.08,0.29,0
0.21,0.96,1
0.95,0.67,0
0.13,-0.38,1
0.21,-0.78,1
-0.22,0.54,1
-0.69,0.09,0
-0.41,-0.28,0
1.39,1.14,0
0.25,-0.43,1
-0.21,0.64,1
-0.92,-0.19,0
-0.03,0.43,0
0.31,0.87,1
-0.37,0.62,1
0.13,-0.81,1
-0.65,1.07,1
0.57,-0.85,1
0.83,0.06,0
-0.73,-0.1,0
-0.06,1.36,1
0.03,0.87,0
0.52,-0.86,1
0.35,-0.15,1
-0.09,1.37,1
-0.14,0.91,1
-0.4,-0.09,1
-0.67,-1.3,0
0.65,-0.01,0
-0.76,0.13,0
-0.08,-0.5,0
1.13,0.86,0
-0.96,-0.84,1
0.09,-0.76,1
0.06,1.31,1
-0.03,1.53,1
0.05,-0.23,0
0.17,-0.49,1
0.36,-0.1,0
-0.8,-0.36,0
0.25,-0.42,0
0.58,-0.33,0
-0.75,0.84,0
0.75,-0.17,0
1.04,0.82,0
0.18,1.02,0
0.02,0.49,0
0.23,-0.07,0
