x1,x2,label
0.91,0.38,0
0.55,0.8,0
0.32,0.8,0
0.25,-100.0,0
0.03,0.25,1
-1.83,0.1,1
-2.08,0.64,1
0.74,1.42,0
0.21,0.54,1
0.85,0.79,0
0.05,100000.0,1
0.31,0.96,0
0.02,0.89,0
0.13,0.24,1
-2.53,-0.02,1
0.94,0.71,0
0.97,0.97,0
0.17,0.62,1
-0.65,0.8,0
-1.03,0.36,0
-0.2,1000.0,1
0.44,0.73,0
-0.01,99.0,0
0.49,0.7,0
0.1,0.56,1
0.97,0.36,0
0.33,0.25,1
-0.5,0.01,0
0.97,0.11,1
-0.85,0.37,0
-2.17,0.18,1
1.39,0.14,0
-1.4,0.12,0
0.11,9999.09,0
0.5,0.7,1
-1.76,-1.99,1
0.15,0.06,1
0.12,0.09,1
1.1,0.71,0
0.07,0.78,0
1.0,0.0,0
1.14,0.21,1
0.66,0.8,0
0.7,0.95,0
0.08,0.01,1
0.5,-0.62,1
-0.67,0.17,0
0.91,0.42,0
0.23,0.92,0
1.87,0.09,0
