x1,x2,label
1.66,-0.01,1
1.21,0.35,0
1.64,0.42,1
1.87,-0.5,1
0.76,1.33,0
0.63,-0.65,1
0.9,1.01,0
0.41,0.54,0
1.61,1.29,1
1.99,0.76,1
0.38,-1.03,1
-0.12,-0.46,1
-0.68,0.17,0
-0.01,0.27,0
0.81,-0.53,1
1.77,0.14,1
-0.3,-0.32,1
-0.31,-0.27,1
-0.51,0.69,0
0.9,-0.12,1
-0.48,-0.02,1
1.09,0.28,0
1.66,-1.49,1
-0.47,-0.09,0
-0.81,0.43,0
-1.04,-1.41,1
-0.38,-0.03,0
-0.17,0.61,0
0.97,0.12,0
1.06,1.05,0
0.23,-1.08,1
0.01,0.64,1
0.89,0.85,0
0.75,-0.94,0
1.08,-0.63,1
-0.5,0.13,0
-0.03,1.32,0
1.2,0.69,0
-0.01,0.18,1
1.44,-0.73,1
0.36,0.59,0
0.09,1.07,0
-0.46,-0.16,1
1.17,-0.64,1
-0.45,1.37,0
0.63,1.63,1
0.19,1.19,0
0.61,1.72,1
0.31,0.4,0
0.78,-1.49,0
