x1,x2,label
0.45,1.22,0
-0.12,1.14,0
-0.27,0.88,0
0.86,-0.03,0
-0.54,-0.08,1
0.46,-0.47,1
1.19,-0.45,1
-0.61,0.68,0
-0.03,0.78,0
0.61,0.12,0
-0.29,0.33,1
2.21,0.53,0
0.09,0.91,0
0.94,1.09,0
1.31,-0.28,0
1.26,-1.3,1
-0.61,0.82,0
0.29,1.6,0
1.38,0.33,1
1.69,-0.69,0
0.24,-0.65,1
1.75,0.52,0
0.09,-0.56,1
0.49,1.18,0
1.21,-0.89,1
0.5,0.04,1
-2.01,0.61,1
-0.44,-0.61,1
1.89,-0.86,1
0.58,-0.05,1
1.21,1.29,0
-0.2,0.92,0
0.21,0.21,1
0.37,-0.75,1
1.42,-0.79,1
-0.89,1.11,0
0.21,0.46,1
-1.01,-0.16,0
0.4,1.43,0
-0.4,-0.19,1
-0.4,0.76,0
0.71,-1.03,1
0.21,0.85,0
0.05,1.19,0
-0.46,1.09,0
1.49,0.07,0
-1.02,0.27,0
0.11,1.68,0
0.83,1.16,0
2.57,-0.34,0
