x1,x2,label
1.66,-0.01,1
1.21,0.35,0
0.63,-0.95,1
0.9,1.01,0
0.38,-0.53,1
-0.12,-0.46,1
1.77,-0.14,1
-0.3,-0.32,1
-0.48,-0.02,1
1.09,0.28,0
-1.04,-0.41,1
-0.38,-0.03,1
0.23,-0.78,1
0.01,0.64,0
-0.5,0.13,1
-0.03,0.32,1
0.36,0.59,0
0.09,1.01,0
-0.46,-0.16,1
0.19,1.19,0
0.31,-0.25,1
-0.41,-0.7,1
0.87,0.7,0
0.83,1.28,0
0.16,0.32,1
0.06,-0.14,1
1.61,-0.33,1
-0.85,1.02,0
0.14,-0.23,1
0.54,0.01,1
0.27,0.76,0
0.12,-0.44,1
-0.63,0.57,0
0.27,0.68,0
-0.36,1.12,0
0.23,-0.65,1
0.9,-0.65,1
-0.36,-0.11,1
0.73,-0.17,1
-0.95,-0.12,0
1.04,-0.39,1
0.23,0.88,0
-0.38,0.82,0
0.07,0.77,0
1.01,0.13,0
1.54,0.27,0
0.69,0.95,0
-0.2,0.52,0
-0.7,-0.18,1
0.37,0.23,1
