x1,label,note,p(u=0|z),p(u=1|z),"p(u=0|z,x)","p(u=1|z,x)","p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",true_x,within_threshold,min_Va,max_Ve
1.3,0,x1 = 1.3,1.0,0.0,0.9998400000000001,0.00016,0.99753,0.00247,0.400634,0.5993660000000001,0.99753,0.00247,0.9994499999999998,0.00055,0.02495,0.97132,0.00675,0.02495,0.0251,-2.7,True,0.01109,-0.00434
5.7,0,x1 = 5.7,0.8519500000000001,0.14805,0.63238,0.36761999999999995,0.9227640000000001,0.077236,0.829444,0.170556,0.9089479740000003,0.09105202600000001,0.9994499999999998,0.00055,0.39236,0.65898,0.00675,0.43997,0.49037,-2.7,True,0.01109,-0.00434
0.2,0,x1 = 0.2,0.9999499999999999,5e-05,0.9968299999999999,0.00317,0.9993259999999999,0.000674,0.617396,0.38260400000000006,0.9993069034999998,0.0006930964999999999,0.9994499999999998,0.00055,0.00807,0.95986,0.00675,0.00827,0.01109,-2.7,True,0.01109,-0.00434
3.3,0,x1 = 3.3,0.99142,0.00858,0.803594,0.196406,0.9964959999999999,0.003504,0.9367660000000001,0.06323399999999998,0.9959835165999998,0.0040164834,0.9994499999999998,0.00055,0.03363,0.34015,0.00675,0.03775,0.09383,-2.7,True,0.01109,-0.00434
-3.7,0,x1 = -3.7,0.9997399999999999,0.00026,0.9947800000000001,0.00522,0.9989239999999999,0.0010760000000000001,0.043502,0.9564980000000001,0.9986755902799999,0.00132440972,0.9994499999999998,0.00055,0.01216,0.25812,0.00675,0.01457,0.01344,-2.7,True,0.01109,-0.00434
6.3,0,x1 = 6.3,0.98201,0.01799,0.820904,0.179096,0.9708080000000001,0.029192000000000003,0.904326,0.09567400000000001,0.9696119888200002,0.030388011180000004,0.9994499999999998,0.00055,0.19032,0.45513,0.00675,0.19633,0.23775,-2.7,True,0.01109,-0.00434
6.9,0,x1 = 6.9,0.9241399999999999,0.07586,0.488324,0.511676,0.9320120000000001,0.067988,0.88163,0.11837,0.92819002148,0.07180997851999998,0.9994499999999998,0.00055,0.35837,0.52466,0.00675,0.37264,0.44346,-2.7,True,0.01109,-0.00434
-1.5,0,x1 = -1.5,0.9999400000000002,6.000000000000001e-05,0.9770199999999999,0.02298,0.9998100000000001,0.00019,0.022986,0.9770139999999999,0.9997513905600003,0.00024860944000000004,0.9994499999999998,0.00055,0.00262,0.15789,0.00675,0.00334,0.00619,-2.7,True,0.01109,-0.00434
7.7,0,x1 = 7.7,0.98201,0.01799,0.699932,0.300068,0.9163479999999999,0.08365199999999999,0.863236,0.136764,0.91539251512,0.08460748487999999,0.9994499999999998,0.00055,0.41492,0.5757,0.00675,0.41821,0.46316,-2.7,True,0.01109,-0.00434
-0.1,0,x1 = -0.1,0.9999400000000002,6.000000000000001e-05,0.84946,0.15054,0.9996920000000001,0.000308,0.012818000000000001,0.987182,0.9996327875600003,0.0003672124400000001,0.9994499999999998,0.00055,0.00404,0.09894,0.00675,0.00472,0.01833,-2.7,True,0.01109,-0.00434
