x1,label,note,p(u=0|z),p(u=1|z),"p(u=0|z,x)","p(u=1|z,x)","p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",true_x,within_threshold,min_Va,max_Ve
-4.0,0,x1 = -4.0,0.99996,4e-05,0.9997399999999999,0.00026,0.000368,0.9996319999999999,0.00045000000000000004,0.9995499999999999,0.00036800328,0.9996319967199998,0.00407,0.9959299999999999,0.00473,0.00565,0.03818,0.00473,0.00473,0.2,False,0.00468,0.0335
10.4,0,x1 = 10.4,0.0,1.0,0.0,1.0,0.002118,0.997882,0.0007520000000000001,0.9992479999999999,0.0007520000000000001,0.9992479999999999,0.00407,0.9959299999999999,0.02187,0.00889,0.03818,0.00889,0.00889,0.2,False,0.00468,0.0335
-7.7,0,x1 = -7.7,1.0,0.0,0.99997,3.0000000000000004e-05,0.0004640000000000001,0.999536,0.00034999999999999994,0.9996500000000001,0.0004640000000000001,0.999536,0.00407,0.9959299999999999,0.00581,0.00452,0.03818,0.00581,0.00581,0.2,False,0.00468,0.0335
2.6,0,x1 = 2.6,1.0,0.0,1.0,0.0,0.012292,0.9877080000000001,0.00349,0.99651,0.012292,0.9877080000000001,0.00407,0.9959299999999999,0.09563,0.03351,0.03818,0.09563,0.09563,0.2,False,0.00468,0.0335
-20.6,0,x1 = -20.6,0.9999499999999999,5e-05,0.9998000000000001,0.0002,0.0005920000000000001,0.9994080000000001,0.00058,0.9994200000000001,0.0005919994000000001,0.9994080006,0.00407,0.9959299999999999,0.0072,0.00707,0.03818,0.0072,0.0072,0.2,False,0.00468,0.0335
12.4,0,x1 = 12.4,0.0,1.0,1e-05,0.99999,0.0027700000000000003,0.9972300000000001,0.0005940000000000001,0.9994059999999999,0.0005940000000000001,0.9994059999999999,0.00407,0.9959299999999999,0.02752,0.00722,0.03818,0.00722,0.00722,0.2,False,0.00468,0.0335
14.3,0,x1 = 14.3,0.0001,0.9999,0.00034,0.9996600000000001,0.002158,0.9978420000000001,0.0007520000000000001,0.9992479999999999,0.0007521406000000001,0.9992478593999999,0.00407,0.9959299999999999,0.02222,0.00889,0.03818,0.00889,0.00889,0.2,False,0.00468,0.0335
-13.3,0,x1 = -13.3,0.9999800000000001,2e-05,0.9999400000000002,6.000000000000001e-05,0.0005920000000000001,0.9994080000000001,0.00058,0.9994200000000001,0.0005919997600000002,0.9994080002400001,0.00407,0.9959299999999999,0.0072,0.00707,0.03818,0.0072,0.0072,0.2,False,0.00468,0.0335
16.9,0,x1 = 16.9,0.0002,0.9998000000000001,0.00043,0.99957,0.003556,0.996444,0.0007520000000000001,0.9992479999999999,0.0007525608000000002,0.9992474392,0.00407,0.9959299999999999,0.03405,0.00889,0.03818,0.00889,0.0089,0.2,False,0.00468,0.0335
-8.6,0,x1 = -8.6,0.99999,1e-05,0.9999400000000002,6.000000000000001e-05,0.000364,0.999636,0.00058,0.9994200000000001,0.00036400216000000005,0.99963599784,0.00407,0.9959299999999999,0.00468,0.00707,0.03818,0.00468,0.00468,0.2,False,0.00468,0.0335
