x1,label,note,p(u=0|z),p(u=1|z),"p(u=0|z,x)","p(u=1|z,x)","p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",true_x,within_threshold,min_Va,max_Ve
-4.0,0,x1 = -4.0,0.99996,4e-05,0.9998000000000001,0.0002,0.951818,0.048182,0.045036,0.954964,0.95178172872,0.04821827128,0.99807,0.00193,0.27862,0.26492,0.02018,0.27878,0.27862,1.0,False,0.27862,-0.25844
10.4,0,x1 = 10.4,0.0,1.0,0.0,1.0,0.193948,0.806052,0.140444,0.8595560000000001,0.140444,0.8595560000000001,0.99807,0.00193,0.70966,0.5854,0.02018,0.5854,0.5854,1.0,False,0.27862,-0.25844
-7.7,0,x1 = -7.7,1.0,0.0,0.9999800000000001,2e-05,0.403134,0.596866,0.045036,0.954964,0.403134,0.596866,0.99807,0.00193,0.97275,0.26492,0.02018,0.97275,0.97274,1.0,False,0.27862,-0.25844
2.6,0,x1 = 2.6,1.0,0.0,1.0,0.0,0.598662,0.401338,0.140444,0.8595560000000001,0.598662,0.401338,0.99807,0.00193,0.97173,0.5854,0.02018,0.97173,0.97173,1.0,False,0.27862,-0.25844
-20.6,0,x1 = -20.6,0.9999499999999999,5e-05,0.9998000000000001,0.0002,0.6933720000000001,0.306628,0.206004,0.793996,0.6933476316,0.3066523684,0.99807,0.00193,0.88924,0.73377,0.02018,0.88927,0.88921,1.0,False,0.27862,-0.25844
12.4,0,x1 = 12.4,0.0,1.0,1e-05,0.99999,0.327588,0.6724120000000001,0.206004,0.793996,0.206004,0.793996,0.99807,0.00193,0.91244,0.73377,0.02018,0.73377,0.73377,1.0,False,0.27862,-0.25844
14.3,0,x1 = 14.3,0.0001,0.9999,0.00034,0.9996600000000001,0.290596,0.7094039999999999,0.15952399999999997,0.840476,0.15953710719999997,0.8404628928,0.99807,0.00193,0.86949,0.63317,0.02018,0.6332,0.63325,1.0,False,0.27862,-0.25844
-13.3,0,x1 = -13.3,0.9999800000000001,2e-05,0.9999400000000002,6.000000000000001e-05,0.6962520000000001,0.303748,0.21844000000000002,0.78156,0.6962424437600001,0.30375755624,0.99807,0.00193,0.88582,0.75731,0.02018,0.88584,0.88581,1.0,False,0.27862,-0.25844
16.9,0,x1 = 16.9,0.0002,0.9998000000000001,0.00043,0.99957,0.370612,0.6293880000000002,0.36136399999999996,0.638636,0.3613658496,0.6386341504000002,0.99807,0.00193,0.95114,0.94381,0.02018,0.94381,0.94381,1.0,False,0.27862,-0.25844
-8.6,0,x1 = -8.6,0.99999,1e-05,0.9999400000000002,6.000000000000001e-05,0.391312,0.6086880000000001,0.06178399999999999,0.938216,0.39130870472,0.6086912952800002,0.99807,0.00193,0.96564,0.33449,0.02018,0.96564,0.9656,1.0,False,0.27862,-0.25844
