x1,x2,label
0.97,0.43,0
-1.39,0.39,0
1.24,0.02,1
-0.17,-0.91,1
-0.78,0.4,0
-0.12,0.3,1
1.67,0.45,0
1.3,0.73,1
0.46,-0.46,1
-0.8,0.17,0
0.51,1.17,0
0.18,0.35,1
-0.53,0.54,1
-1.02,-0.64,1
0.3,-0.94,1
1.63,0.42,1
0.7,0.05,0
-0.08,0.04,1
1.03,0.49,1
0.02,1.09,0
0.56,0.58,1
0.12,0.71,0
1.16,0.86,1
1.16,-0.45,0
-0.31,0.69,0
-0.76,0.38,1
1.43,-0.62,0
-0.52,0.43,0
-0.57,-0.19,1
-0.15,0.42,1
-1.12,0.35,0
0.26,-0.06,0
1.65,0.51,1
1.11,0.01,1
1.22,-0.19,1
-0.44,-0.15,1
0.03,0.96,0
-0.62,0.02,0
0.01,0.06,1
-0.63,-0.36,0
-1.13,0.4,0
0.08,-0.03,0
-0.74,0.83,0
-0.47,0.63,0
1.59,-0.77,0
-1.48,-0.23,1
0.36,-0.86,1
0.03,0.29,1
1.62,-0.52,1
-0.5,-0.44,0
