x1,x2,label
1.59,-0.77,1
1.48,-0.23,1
0.55,-0.33,1
1.03,0.29,0
1.62,-0.52,1
-0.47,-0.44,0
0.2,-0.4,1
1.79,0.54,0
-0.37,-0.17,1
-0.13,-0.35,1
-0.27,-0.63,1
0.24,-0.51,1
-0.18,-0.43,1
-0.8,-0.62,1
-0.88,-0.14,1
-0.19,-0.44,1
1.03,0.82,0
1.65,-0.45,1
1.62,0.12,0
0.28,0.38,0
-0.56,-0.31,1
0.17,-0.65,1
-1.06,-0.02,0
1.24,-0.61,1
-0.2,0.2,1
-1.06,-0.58,1
0.71,0.54,0
0.15,-0.09,1
1.78,0.08,0
0.89,-0.39,1
-1.42,-0.02,0
-0.32,0.32,1
1.34,-0.37,1
0.29,0.79,0
-1.17,-0.4,1
-0.79,-0.16,1
-0.18,-0.13,1
0.85,-0.54,1
1.54,-0.49,1
0.06,0.57,0
0.59,-0.24,1
0.24,0.11,1
0.21,0.45,0
1.61,0.73,0
-0.67,-0.01,1
-0.88,0.69,0
0.46,-0.58,1
-0.47,-0.48,0
-0.4,0.53,0
0.67,-0.15,1
