x1,x2,label
-1.07,0.55,0
0.67,-0.83,1
0.61,-0.28,1
0.38,1.11,0
0.54,0.08,0
-0.27,-0.37,0
0.76,-0.78,1
0.27,1.04,0
-0.31,-0.17,0
-0.36,-0.45,0
-1.08,-0.04,0
-0.86,-0.86,0
-0.07,0.59,1
-0.44,0.89,0
-0.62,-0.27,0
-0.13,0.09,1
-0.25,1.04,0
-0.31,-0.33,0
-0.48,-0.01,0
0.66,-0.33,1
0.27,-0.16,1
-0.92,-0.25,0
-1.08,-0.29,0
0.29,-0.12,1
1.33,0.09,0
0.09,1.08,0
0.91,0.6,0
1.37,-0.32,1
0.93,-0.69,1
0.29,-0.54,1
0.96,-0.05,1
-1.12,-0.06,0
0.74,0.43,0
-1.39,0.39,0
1.24,0.02,0
-0.17,-0.91,0
-0.78,0.4,0
-0.12,0.12,1
0.67,0.51,0
1.3,0.73,0
0.46,-0.07,1
-0.39,1.05,0
0.63,0.17,0
0.18,0.35,1
-0.53,0.54,0
-1.02,-0.64,0
0.17,-0.57,1
1.07,0.42,0
0.37,0.05,1
-0.08,0.04,1
