action,label,regret,note,trial,optimal_action,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
2,1,-0.4,action = 2,0,2,,,,,,,,,,,,,,,
2,1,-0.4,action = 2,1,2,,,,,,,,,,,,,,,
2,1,-0.4,action = 2,2,2,,,,,,,,,,,,,,,
1,1,-0.4,action = 1,3,2,,,,,,,,,,,,,,,
4,1,-0.4,action = 4,4,2,,,,,,,,,,,,,,,
0,1,-0.4,action = 0,5,2,0.93342,0.97329,0.98006,0.95651,0.9798,0.2492990172463582,0.161245154965971,0.13978555004005241,0.2039607805437114,0.1407124727947029,1.4320180344927165,1.295780309931942,1.2596311000801048,1.3644315610874227,1.2612249455894058
3,0,0.6,action = 3,6,2,0.9724,0.97986,0.98321,0.96825,0.98049,0.16382917933017915,0.14046351839534707,0.1284523257866513,0.1753567791675018,0.13831124321616084,1.3000583586603582,1.2607870367906941,1.2401146515733026,1.3189635583350037,1.2571124864323218
4,1,-0.4,action = 4,7,2,0.86873,0.86162,0.91945,0.55809,0.76613,0.33769809001532713,0.3452969736328426,0.2721396700225823,0.49661856590345066,0.4232847741178508,1.5441261800306543,1.5522139472656853,1.4637293400451648,1.5513271318069013,1.6126995482357016
4,0,0.6,action = 4,8,2,0.86629,0.86399,0.90934,0.52186,0.85879,0.3403380672214027,0.34279731620886417,0.28712366673612955,0.4995197693785502,0.34823842407178446,1.5469661344428054,1.5495846324177283,1.4835873334722591,1.5208995387571003,1.555266848143569
1,0,0.6,action = 1,9,2,0.7386,0.71927,0.7445,0.5617,0.63151,0.43939731451159325,0.4493550934394758,0.4361421786527875,0.4961753722223625,0.4824002487561548,1.6173946290231864,1.6179801868789516,1.616784357305575,1.5540507444447251,1.5963104975123095
2,0,0.6,action = 2,10,2,0.53952,0.49247,0.56752,0.47551,0.51436,0.498437558777426,0.49993999639956793,0.49541901457251314,0.4993996395673509,0.4997899558814683,1.536395117554852,1.492349992799136,1.5583580291450263,1.4743092791347019,1.5139399117629366
0,0,0.6,action = 0,11,2,0.53721,0.51868,0.53716,0.49995,0.53721,0.49861809032565196,0.4996498774141749,0.49861809032565196,0.5,0.49861809032565196,1.534446180651304,1.5179797548283498,1.5343961806513038,1.4999500000000001,1.534446180651304
2,0,0.6,action = 2,12,2,0.48771,0.48771,0.51263,0.47522,0.5,0.49984997749324744,0.49984997749324744,0.4998399743918047,0.49938962744534454,0.5,1.4874099549864948,1.4874099549864948,1.5123099487836096,1.473999254890689,1.5
