x1,label,note
1.3,1,x1 = 1.3
3.2,0,x1 = 3.2
-0.9,0,x1 = -0.9
5.5,1,x1 = 5.5
4.9,0,x1 = 4.9
3.5,1,x1 = 3.5
1.1,0,x1 = 1.1
1.4,0,x1 = 1.4
-1.6,0,x1 = -1.6
-1.5,1,x1 = -1.5
0.4,0,x1 = 0.4
2.7,1,x1 = 2.7
6.1,1,x1 = 6.1
3.4,0,x1 = 3.4
4.6,0,x1 = 4.6
-1.3,0,x1 = -1.3
-1.5,0,x1 = -1.5
1.0,0,x1 = 1.0
2.6,0,x1 = 2.6
1.9,0,x1 = 1.9
1.7,0,x1 = 1.7
3.4,0,x1 = 3.4
-3.7,0,x1 = -3.7
3.8,1,x1 = 3.8
7.6,1,x1 = 7.6
4.3,0,x1 = 4.3
0.1,0,x1 = 0.1
1.2,0,x1 = 1.2
4.1,1,x1 = 4.1
-2.2,0,x1 = -2.2
4.1,1,x1 = 4.1
-0.9,0,x1 = -0.9
0.8,0,x1 = 0.8
-1.1,1,x1 = -1.1
6.0,1,x1 = 6.0
6.7,1,x1 = 6.7
-4.0,0,x1 = -4.0
5.4,1,x1 = 5.4
0.8,0,x1 = 0.8
-0.9,0,x1 = -0.9
-0.7,0,x1 = -0.7
0.3,1,x1 = 0.3
4.3,0,x1 = 4.3
4.4,1,x1 = 4.4
0.2,0,x1 = 0.2
6.6,0,x1 = 6.6
2.9,0,x1 = 2.9
1.1,0,x1 = 1.1
4.1,1,x1 = 4.1
5.5,1,x1 = 5.5
-0.5,0,x1 = -0.5
1.1,1,x1 = 1.1
2.7,0,x1 = 2.7
1.6,1,x1 = 1.6
2.3,1,x1 = 2.3
1.3,0,x1 = 1.3
-0.1,0,x1 = -0.1
0.1,0,x1 = 0.1
-0.7,1,x1 = -0.7
-6.5,0,x1 = -6.5
5.1,0,x1 = 5.1
-2.9,0,x1 = -2.9
2.7,0,x1 = 2.7
5.1,1,x1 = 5.1
2.0,1,x1 = 2.0
1.8,0,x1 = 1.8
2.4,1,x1 = 2.4
4.3,0,x1 = 4.3
-0.1,1,x1 = -0.1
0.8,1,x1 = 0.8
3.6,1,x1 = 3.6
-0.9,0,x1 = -0.9
-0.0,1,x1 = -0.0
4.2,0,x1 = 4.2
-1.1,1,x1 = -1.1
8.3,1,x1 = 8.3
1.3,0,x1 = 1.3
4.2,1,x1 = 4.2
-2.8,0,x1 = -2.8
3.3,1,x1 = 3.3
9.6,1,x1 = 9.6
5.9,1,x1 = 5.9
6.7,0,x1 = 6.7
5.5,1,x1 = 5.5
1.9,0,x1 = 1.9
-1.2,0,x1 = -1.2
2.6,1,x1 = 2.6
1.3,1,x1 = 1.3
3.7,0,x1 = 3.7
4.9,1,x1 = 4.9
1.1,0,x1 = 1.1
-1.8,1,x1 = -1.8
3.2,0,x1 = 3.2
-2.0,0,x1 = -2.0
0.1,0,x1 = 0.1
0.7,0,x1 = 0.7
0.9,1,x1 = 0.9
1.2,1,x1 = 1.2
4.3,0,x1 = 4.3
-0.1,0,x1 = -0.1
4.3,0,x1 = 4.3
-1.5,0,x1 = -1.5
3.9,1,x1 = 3.9
1.0,0,x1 = 1.0
4.0,1,x1 = 4.0
