x1,label,note
1.3,1,x1 = 1.3
3.2,0,x1 = 3.2
-0.9,0,x1 = -0.9
5.5,1,x1 = 5.5
4.9,0,x1 = 4.9
3.5,1,x1 = 3.5
1.1,0,x1 = 1.1
1.4,0,x1 = 1.4
-1.6,0,x1 = -1.6
-1.5,1,x1 = -1.5
0.4,0,x1 = 0.4
2.7,1,x1 = 2.7
6.1,1,x1 = 6.1
3.4,0,x1 = 3.4
4.6,0,x1 = 4.6
-1.3,0,x1 = -1.3
-1.5,0,x1 = -1.5
1.0,0,x1 = 1.0
2.6,0,x1 = 2.6
1.9,0,x1 = 1.9
1.7,0,x1 = 1.7
3.4,0,x1 = 3.4
-3.7,0,x1 = -3.7
3.8,1,x1 = 3.8
7.6,1,x1 = 7.6
4.3,0,x1 = 4.3
0.1,0,x1 = 0.1
1.2,0,x1 = 1.2
4.1,1,x1 = 4.1
-2.2,0,x1 = -2.2
4.1,1,x1 = 4.1
-0.9,0,x1 = -0.9
0.8,0,x1 = 0.8
-1.1,1,x1 = -1.1
6.0,1,x1 = 6.0
6.7,1,x1 = 6.7
-4.0,0,x1 = -4.0
5.4,1,x1 = 5.4
0.8,0,x1 = 0.8
-0.9,0,x1 = -0.9
-0.7,0,x1 = -0.7
0.3,1,x1 = 0.3
4.3,0,x1 = 4.3
4.4,1,x1 = 4.4
0.2,0,x1 = 0.2
