z_x1,z_note,x_x1,x_note,"p(y=0|x,D)","p(y=1|x,D)","p(u=0|z,D)","p(u=1|z,D)","p(y=0|x,u=0,z,D)","p(y=1|x,u=0,z,D)","p(y=0|x,u=1,z,D)","p(y=1|x,u=1,z,D)","p(y=0|x,z,D)","p(y=1|x,z,D)","H[p(u|z,D)]","H[p(y|x,u=0,z,D)]","H[p(y|x,u=1,z,D)]","H[p(y|x,D)]",Va,Ve,kl_pyx_pyxz,kl_pyxz_pyx
9.5,x1 = 9.5,9.8,x1 = 9.8,0.03629415022729239,0.9637058497727076,0.03546106866780748,0.9645389313321925,0.6246096022910456,0.37539039770895427,0.035304372951308755,0.9646956270486913,0.056201766155223196,0.9437982338447768,0.22108,0.95472,0.22033,0.22504,0.24637,-0.021330000000000016,0.004244984395228059,0.004875994630025658
9.9,x1 = 9.9,9.8,x1 = 9.8,0.03629415022729239,0.9637058497727076,0.03245136557673021,0.9675486344232699,0.46303720381157215,0.5369627961884278,0.03211748177641181,0.9678825182235882,0.04610141521039777,0.9538985847896023,0.20654,0.99605,0.2049,0.22504,0.23057,-0.005530000000000007,0.0011764170575995578,0.0012696700107434154
9.7,x1 = 9.7,9.8,x1 = 9.8,0.03629415022729239,0.9637058497727076,0.027761797613446066,0.9722382023865539,0.44189308656287335,0.5581069134371266,0.036118512747513834,0.9638814872524861,0.04738354434245818,0.9526164556575417,0.18304,0.99024,0.2242,0.22504,0.24547,-0.020430000000000004,0.0014770016657299524,0.001607981007016996
10.1,x1 = 10.1,9.8,x1 = 9.8,0.03629415022729239,0.9637058497727076,0.04565951834097017,0.8543404816590299,0.605483430415838,0.39451656958416204,0.027336894677235535,0.9726631053227643,0.05100109756183707,0.8489989024381628,0.39735,0.96765,0.18086,0.22504,0.1987,0.026340000000000002,0.10978179851913149,-0.09024202644698619
9.8,x1 = 9.8,9.8,x1 = 9.8,0.03629415022729239,0.9637058497727076,0.03635150942200986,0.9636484905779901,0.5512662714456844,0.4487337285543157,0.01780729095214847,0.9821927090478514,0.03719933010781502,0.9628006698921848,0.22531,0.9924,0.12895,0.22504,0.16034,0.06469999999999998,1.1528775925540957e-05,1.1620192065964533e-05
9.2,x1 = 9.2,9.8,x1 = 9.8,0.03629415022729239,0.9637058497727076,0.035725339894847344,0.9642746601051526,0.5102959412277842,0.48970405877221584,0.031952314854078435,0.9680476851459214,0.04904130349281294,0.9509586965071869,0.22234,0.99969,0.20409,0.22504,0.23251,-0.007470000000000004,0.0019074412056593743,0.0020992666596876333
10.0,x1 = 10.0,9.8,x1 = 9.8,0.03629415022729239,0.9637058497727076,0.04675901141450527,0.9532409885854948,0.4165893824911491,0.583410617508851,0.03635665217708364,0.9636433478229163,0.054135958754007535,0.9458640412459924,0.27247,0.97983,0.22533,0.22504,0.26061,-0.03557000000000002,0.003497107347163091,0.003970212881282714
9.3,x1 = 9.3,9.8,x1 = 9.8,0.03629415022729239,0.9637058497727076,0.048976389728393334,0.9510236102716068,0.48376384981514964,0.5162361501848503,0.03370251615005019,0.9662974838499497,0.055744895429312574,0.9442551045706875,0.28203,0.99924,0.21263,0.22504,0.25116,-0.026120000000000004,0.004074834865711948,0.004668644904783172
9.4,x1 = 9.4,9.8,x1 = 9.8,0.03629415022729239,0.9637058497727076,0.033600295719939395,0.9663997042800606,0.4777164969354583,0.5222835030645416,0.03014715196627795,0.9698528480337221,0.04518561431242198,0.954814385687578,0.21214,0.99857,0.19513,0.22504,0.22213,0.002909999999999996,0.0009798821846231012,0.0010508512401932232
8.9,x1 = 8.9,9.8,x1 = 9.8,0.03629415022729239,0.9637058497727076,0.03826643700295653,0.9617335629970436,0.4730532842860128,0.5269467157139872,0.02888201043635389,0.971117989563646,0.045878862505644824,0.9541211374943552,0.23429,0.9979,0.18875,0.22504,0.21971,0.005330000000000001,0.0011272352629459435,0.0012147258529667283
10.2,x1 = 10.2,9.8,x1 = 9.8,0.03629415022729239,0.9637058497727076,0.05723067775929578,0.9427693222407043,0.4704069183732077,0.5295930816267922,0.02703935299976525,0.9729606470002347,0.05241357926257624,0.9475864207374237,0.31635,0.99747,0.17932,0.22504,0.22614,-0.0011000000000000176,0.002917330820829735,0.0032786085234164097
10.6,x1 = 10.6,9.8,x1 = 9.8,0.03629415022729239,0.9637058497727076,0.056763555875910345,0.9432364441240898,0.36668434919959886,0.6333156508004011,0.02879944992414381,0.9712005500758562,0.04797899828379244,0.9520210017162076,0.31446,0.94809,0.18833,0.22504,0.23146,-0.006420000000000009,0.0016263206013552214,0.0017775436393615493
9.6,x1 = 9.6,9.8,x1 = 9.8,0.03629415022729239,0.9637058497727076,0.03640950578494902,0.963590494215051,0.43143659987701855,0.5685634001229816,0.025627737615221656,0.9743722623847784,0.040403037733326125,0.959596962266674,0.22558,0.98639,0.17197,0.22504,0.20162,0.023419999999999996,0.0002251824793594471,0.00023304535446743314
9.0,x1 = 9.0,9.8,x1 = 9.8,0.03629415022729239,0.9637058497727076,0.04107926713702535,0.9589207328629747,0.38956353547040357,0.6104364645295963,0.0366636254138739,0.9633363745861262,0.05116049509171831,0.9488395049082818,0.24722,0.96452,0.22678,0.22504,0.25709,-0.032049999999999995,0.0025220199376436055,0.0028128797910681024
10.3,x1 = 10.3,9.8,x1 = 9.8,0.03629415022729239,0.9637058497727076,0.06300627812646509,0.9369937218735348,0.5013722032927493,0.49862779670725066,0.04888566022566866,0.9511143397743315,0.07739515320663587,0.9226048467933641,0.33926,0.99999,0.28164,0.22504,0.3269,-0.10186000000000003,0.014518821343403931,0.01839702661047582
