action,label,regret,note,trial,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
4,1,-0.4,action = 4,0,,,,,,,,,,,,,,,
3,0,0.6,action = 3,1,,,,,,,,,,,,,,,
2,0,0.6,action = 2,2,,,,,,,,,,,,,,,
1,1,-0.4,action = 1,3,,,,,,,,,,,,,,,
1,1,-0.4,action = 1,4,,,,,,,,,,,,,,,
0,1,-0.4,action = 0,5,0.56725,0.76598,0.33523,0.36987,0.69388,0.12316655390161729,0.0,0.11907980517283356,0.09402127418834527,0.0744983221287567,3.030581078032346,0.76598,2.7168261034566714,2.2502954837669056,2.1838464425751343
0,1,-0.4,action = 0,6,0.63612,0.64914,0.39095,0.41728,0.67003,0.17105554653386718,0.16327890249508661,0.0,0.0,0.10963576058932596,4.057230930677344,3.914718049901732,0.39095,0.41728,2.8627452117865193
0,0,0.6,action = 0,7,0.76098,0.73918,0.3235,0.33655,0.72381,0.16263455967290594,0.13696714934611146,0.0847938677028003,0.0,0.16428633540255258,4.013671193458119,3.478522986922229,2.019377354056006,0.33655,4.009536708051051
3,1,-0.4,action = 3,8,0.63254,0.67208,0.50213,0.51023,0.70568,0.0,0.04147288270665544,0.10862780491200216,0.12255610959882825,0.0,0.63254,1.501537654133109,2.674686098240043,2.961352191976565,0.70568
4,0,0.6,action = 4,9,0.59826,0.6467,0.56351,0.59811,0.66275,0.0,0.0,0.0,0.0,0.0,0.59826,0.6467,0.56351,0.59811,0.66275
1,0,0.6,action = 1,10,0.53721,0.55551,0.5,0.51868,0.53111,0.056833088953531286,0.06833739825307955,0.05477225575051661,0.05848076606885378,0.0523450093132096,1.6738717790706257,1.922257965061591,1.5954451150103321,1.6882953213770757,1.578010186264192
4,0,0.6,action = 4,11,0.53116,0.52492,0.48127,0.51873,0.51873,0.007745966692414834,0.03605551275463989,0.021213203435596427,0.01788854381999832,0.04626013402488151,0.6860793338482967,1.2460302550927977,0.9055340687119285,0.8765008763999664,1.44393268049763
4,1,-0.4,action = 4,12,0.5,0.48752,0.47503,0.49376,0.48752,0.019748417658131498,0.006324555320336759,0.010488088481701515,0.016431676725154984,0.03847076812334269,0.89496835316263,0.6140111064067352,0.6847917696340303,0.8223935345030997,1.2569353624668538
0,1,-0.4,action = 0,13,0.52492,0.50624,0.5,0.51248,0.54355,0.0661815684310972,0.03924283374069717,0.026457513110645904,0.023021728866442676,0.0,1.848551368621944,1.2910966748139434,1.029150262212918,0.9729145773288536,0.54355
2,0,0.6,action = 2,14,0.57938,0.52354,0.5061,0.52449,0.53693,0.0,0.014832396974191326,0.04049691346263317,0.032710854467592254,0.010954451150103323,0.57938,0.8201879394838265,1.3160382692526635,1.1787070893518452,0.7560190230020665
