action,label,regret,note,trial,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
4,1,-0.4,action = 4,0,,,,,,,,,,,,,,,
3,0,0.6,action = 3,1,,,,,,,,,,,,,,,
2,0,0.6,action = 2,2,,,,,,,,,,,,,,,
1,1,-0.4,action = 1,3,,,,,,,,,,,,,,,
1,1,-0.4,action = 1,4,,,,,,,,,,,,,,,
0,1,-0.4,action = 0,5,0.57344,0.76956,0.34002,0.37543,0.69107,0.11326958991715295,0.0,0.12421755109484327,0.10300485425454473,0.06549809157525126,1.7061358991715294,0.76956,1.5821955109484327,1.4054785425454472,1.3460509157525125
0,1,-0.4,action = 0,6,0.63016,0.65869,0.39892,0.42305,0.66974,0.1777638883463118,0.1638596960817394,0.0,0.0,0.118490505948789,2.407798883463118,2.297286960817394,0.39892,0.42305,1.85464505948789
4,1,-0.4,action = 4,7,0.7671,0.73249,0.30714,0.33036,0.71576,0.158871016865884,0.14946571513226703,0.0291547594742265,0.0,0.16754103974847476,2.35581016865884,2.2271471513226704,0.598687594742265,0.33036,2.3911703974847476
4,0,0.6,action = 4,8,0.80826,0.78176,0.28373,0.32276,0.80752,0.19222382786741085,0.17854971296532515,0.028635642126552705,0.1638596960817394,0.21351814911149825,2.7304982786741085,2.5672571296532514,0.570086421265527,1.9613569608173937,2.942701491114983
0,1,-0.4,action = 0,9,0.69272,0.66607,0.46279,0.43806,0.58503,0.1268857754044952,0.09343446901438462,0.11090536506409417,0.117983049630021,0.08215838362577492,1.961577754044952,1.6004146901438463,1.5718436506409417,1.6178904963002099,1.4066138362577494
1,0,0.6,action = 1,10,0.77527,0.65455,0.42187,0.40571,0.58442,0.14401388821915753,0.16024980499208105,0.15066519173319365,0.12716131487209464,0.09994998749374609,2.2154088821915754,2.2570480499208108,1.9285219173319363,1.6773231487209466,1.583919874937461
4,0,0.6,action = 4,11,0.69009,0.57213,0.44463,0.4512,0.54326,0.0,0.020248456731316585,0.04722287581247038,0.05118593556827891,0.06625707509390978,0.69009,0.7746145673131659,0.9168587581247039,0.9630593556827891,1.2058307509390978
0,0,0.6,action = 0,12,0.59103,0.52478,0.45725,0.4444,0.48794,0.12149074038789952,0.05282045058497703,0.07937253933193772,0.07273238618387273,0.05196152422706632,1.8059374038789953,1.0529845058497704,1.2509753933193772,1.1717238618387273,1.0075552422706633
0,1,-0.4,action = 0,13,0.51868,0.51248,0.47508,0.46884,0.49376,0.05477225575051661,0.02258317958127243,0.055407580708780275,0.05394441583704471,0.043703546766824315,1.066402557505166,0.7383117958127243,1.0291558070878029,1.008284158370447,0.9307954676682431
