x1,note,p(u=0|z),p(u=1|z),H[p(u|z)],"p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",kl_pyx_pyxz,kl_pyxz_pyx,true_x1,within_threshold,z_value_for_min_Va,min_Va,max_Ve
15.2,x1 = 15.2,0.06351186773444159,0.9364881322655585,0.34123,0.6513548782017747,0.34864512179822554,0.7310585727705127,0.26894142722948733,0.7259964422631167,0.2740035577368834,0.8314638043784125,0.16853619562158745,0.93285,0.83994,0.65435,0.84715,0.84584,0.03087,0.03469,-1.6,False,False,0.79683,-0.14248
14.1,x1 = 14.1,0.05579881618844812,0.9442011838115519,0.31054,0.6791786991753931,0.3208213008246071,0.7310585727705127,0.26894142722948733,0.7281637372398987,0.27183626276010137,0.8314638043784125,0.16853619562158745,0.90527,0.83994,0.65435,0.84409,0.84359,0.02973,0.03335,-1.6,False,False,0.79683,-0.14248
16.2,x1 = 16.2,0.06281523689169759,0.9371847631083025,0.33852,0.6513548714339146,0.3486451285660856,0.7057850340255386,0.29421496597446145,0.7023659904682922,0.297634009531708,0.8314638043784125,0.16853619562158745,0.93285,0.8741,0.65435,0.87838,0.87779,0.04445,0.05076,-1.6,False,False,0.79683,-0.14248
19.5,x1 = 19.5,0.06522590534687699,0.9347740946531232,0.34785,0.6791786926816162,0.3208213073183838,0.731058578630005,0.26894142136999516,0.7276746660997288,0.2723253339002716,0.8314638043784125,0.16853619562158745,0.90527,0.83994,0.65435,0.84478,0.8442,0.02999,0.03365,-1.6,False,False,0.79683,-0.14248
7.1,x1 = 7.1,0.0300490983088061,0.9699509016911939,0.19464,0.6513548646660541,0.34864513533394575,0.731058578630005,0.26894142136999516,0.7286635538935252,0.27133644610647484,0.8314638043784125,0.16853619562158745,0.93285,0.83994,0.65435,0.84338,0.84273,0.02947,0.03305,-1.6,False,False,0.79683,-0.14248
-13.3,x1 = -13.3,0.9067726611753473,0.09322733882465266,0.44715,0.731058578630005,0.26894142136999516,0.6513548511303338,0.34864514886966624,0.7236280122208053,0.27637198777919475,0.8314638043784125,0.16853619562158745,0.83994,0.93285,0.65435,0.85046,0.8486,0.03214,0.03617,-1.6,False,False,0.79683,-0.14248
-13.3,x1 = -13.3,0.9067726611753473,0.09322733882465266,0.44715,0.731058578630005,0.26894142136999516,0.6513548511303338,0.34864514886966624,0.7236280122208053,0.27637198777919475,0.8314638043784125,0.16853619562158745,0.83994,0.93285,0.65435,0.85046,0.8486,0.03214,0.03617,-1.6,False,False,0.79683,-0.14248
-13.3,x1 = -13.3,0.9067726611753473,0.09322733882465266,0.44715,0.731058578630005,0.26894142136999516,0.6513548511303338,0.34864514886966624,0.7236280122208053,0.27637198777919475,0.8314638043784125,0.16853619562158745,0.83994,0.93285,0.65435,0.85046,0.8486,0.03214,0.03617,-1.6,False,False,0.79683,-0.14248
0.3,x1 = 0.3,0.5758306335888383,0.4241693664111616,0.98334,0.7772998508568417,0.22270014914315833,0.7310585727705127,0.26894142722948733,0.7576857172289211,0.2423142827710788,0.8314638043784125,0.16853619562158745,0.76507,0.83994,0.65435,0.79887,0.79683,0.01607,0.01758,-1.6,False,False,0.79683,-0.14248
-13.3,x1 = -13.3,0.9067726611753473,0.09322733882465266,0.44715,0.731058578630005,0.26894142136999516,0.6513548511303338,0.34864514886966624,0.7236280122208053,0.27637198777919475,0.8314638043784125,0.16853619562158745,0.83994,0.93285,0.65435,0.85046,0.8486,0.03214,0.03617,-1.6,False,False,0.79683,-0.14248
-3.2,x1 = -3.2,0.8726188719073289,0.127381128092671,0.55021,0.7310585727705127,0.26894142722948733,0.6791786991753931,0.32082130082460697,0.7244500559466611,0.2755499440533388,0.8314638043784125,0.16853619562158745,0.83994,0.90527,0.65435,0.84932,0.84826,0.0317,0.03565,-1.6,False,False,0.79683,-0.14248
-3.2,x1 = -3.2,0.8726188719073289,0.127381128092671,0.55021,0.7310585727705127,0.26894142722948733,0.6791786991753931,0.32082130082460697,0.7244500559466611,0.2755499440533388,0.8314638043784125,0.16853619562158745,0.83994,0.90527,0.65435,0.84932,0.84826,0.0317,0.03565,-1.6,False,False,0.79683,-0.14248
0.9,x1 = 0.9,0.2122505946390679,0.7877494053609321,0.74576,0.7310585727705127,0.26894142722948733,0.7549149923816048,0.2450850076183953,0.7498514531331912,0.2501485468668087,0.8314638043784125,0.16853619562158745,0.83994,0.80339,0.65435,0.81151,0.81115,0.01935,0.02132,-1.6,False,False,0.79683,-0.14248
-3.6,x1 = -3.6,0.8960754414435288,0.10392455855647124,0.48131,0.7310585903489891,0.2689414096510108,0.6791787056691697,0.3208212943308303,0.7256669962356782,0.2743330037643217,0.8314638043784125,0.16853619562158745,0.83994,0.90527,0.65435,0.84761,0.84673,0.03105,0.03489,-1.6,False,False,0.79683,-0.14248
1.2,x1 = 1.2,0.45343016141321685,0.5465698385867832,0.99373,0.7549149923816048,0.24508500761839525,0.7057850340255386,0.29421496597446145,0.7280620389731542,0.27193796102684575,0.8314638043784125,0.16853619562158745,0.80339,0.8741,0.65435,0.84423,0.84204,0.02979,0.03341,-1.6,False,False,0.79683,-0.14248
